6094009|||||Pierre Giraudon|||||(French, 1923)|||||Petite Lampe|||||Lot 202 - Cornette de Saint Cyr, Paris (November 04, 2015)|||||Arts Decoratifs du XXe Siecle - Design (Sale )||||||||||Estimate:  800 - 1,200 EUR|||||Materials: coral inclusion in a translucent resin block black background Measurements: 14.96 in. (38.00 cm.) (height) by 5.91 in. (15.00 cm.) (width) by 5.91 in. (15.00 cm.) (depth)
6094010|||||Robert Hainard|||||(Swiss, 1906 - 1999)|||||Forellen|||||Lot 3513 - Schuler Auktionen, Zurich (December 07, 2015)|||||Auktion 139 (Sale 139)||||||||||Estimate: 400 - 600 CHF|||||Materials: color woodcut Measurements: 15.59 in. (39.60 cm.) (height) by 19.61 in. (49.80 cm.) (width) Size Notes: sheet size Edition: 28 of 45 Markings: signed in pencil l.r.; signed, inscribed 'L'Aubonne, 27 Juillet 1945' and numbered in print l.r. Condition: minimally damaged margins; minimally foxed; few creases
6094011|||||Eugene Brands|||||(Dutch, 1913 - 2002)|||||Sinking sun|||||Lot 160 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  1,000 - 2,000 EUR|||||Materials: Gouache on paper Measurements: 12.40 in. (31.50 cm.) (height) by 11.77 in. (29.90 cm.) (width) Markings: Signed, titled, dated 27 januari 1972-3 and numbered 5291 on the reverse Provenance: Galerie Wansink, Roermond. Private collection, The Netherlands
6094012|||||Jan Meyer|||||(Dutch, 1927 - 1995)|||||Positano|||||Lot 161 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  1,000 - 2,000 EUR|||||Materials: Oil on canvas Measurements: 32.05 in. (81.40 cm.) (height) by 25.75 in. (65.40 cm.) (width) Edition: 65 of 81 Markings: Signed and dated 1958. Signed, titled, dated 58/59 and numbered 65/81 on the reverse Provenance: Auction Christie's Amsterdam, 1 June 1995, lot 113. Private collection, The Netherlands
6094013|||||Zoran Antonio Music|||||(Italian, 1909 - 2005)|||||Wir sind nicht die Letzen|||||Lot 17 - FidesArte, Venice (December 10, 2015)|||||Arte Moderna e Contemporanea (Sale 67)||||||||||Estimate:  700 - 1,000 EUR|||||Materials: etching Measurements: 18.50 in. (47.00 cm.) (height) by 13.70 in. (34.80 cm.) (width) Size Notes: slab; 66 x 50.7 cm (sheet) Edition: EA Markings: signed and dated l.r.; editioned l.l. Literature: Music L'Opera Grafica 1947 - 1981 Galerie Schmuecking Basel 1986 pag. 194 tav. 198
6094014|||||Willem Hussem|||||(Dutch, 1900 - 1974)|||||Composition|||||Lot 162 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  3,000 - 5,000 EUR|||||Materials: Oil on jute Measurements: 33.27 in. (84.50 cm.) (height) by 23.66 in. (60.10 cm.) (width) Markings: Signed with initials and dated 65 l.r.
6094015|||||Anton Rooskens|||||(Dutch, 1906 - 1976)|||||Untitled|||||Lot 163 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  5,000 - 8,000 EUR|||||Materials: Oil on board Measurements: 23.62 in. (60.00 cm.) (height) by 19.72 in. (50.10 cm.) (width) Markings: Signed and dated 56 on the reverse Condition: In artist's frame. Provenance: Private collection, The Netherlands
6094016|||||Robert Hainard|||||(Swiss, 1906 - 1999)|||||Kauz|||||Lot 3514 - Schuler Auktionen, Zurich (December 07, 2015)|||||Auktion 139 (Sale 139)||||||||||Estimate: 400 - 600 CHF|||||Materials: color woodcut Measurements: 15.75 in. (40.00 cm.) (height) by 19.61 in. (49.80 cm.) (width) Size Notes: sheet size Edition: 40 of 65 Markings: signed in pencil l.l.; signed, inscribed 'Valais, 13 Juin 1947 20h48' and numbered in print l.r. Condition: minimally damages margins; minimally foxed; few creases; mounted on back sheet on upper margin verso
6094017|||||Theo Wolvecamp|||||(Dutch, 1925 - 1992)|||||Explosion|||||Lot 164 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  10,000 - 15,000 EUR|||||Materials: Oil on canvas Measurements: 31.50 in. (80.00 cm.) (height) by 39.53 in. (100.40 cm.) (width) Markings: Signed u.r. Provenance: Collection Jacques de Jonghe, Belgium. Auction Brussels Art Auctions, Brussels, 20 March 2012, lot 373 (incl. catalogue). Private collection, The Netherlands
6094018|||||Guido Faleschini|||||(Italian, 20th C)|||||Paire De Meubles A Hauteur D'appui|||||Lot 203 - Cornette de Saint Cyr, Paris (November 04, 2015)|||||Arts Decoratifs du XXe Siecle - Design (Sale )||||||||||Estimate:  1,200 - 1,800 EUR|||||Materials: wooden structure lined with black velvet, two doors in black glass, adorned with two rings of cast aluminum and leather straps Measurements: 33.46 in. (85.00 cm.) (height) by 39.37 in. (100.00 cm.) (width) by 18.50 in. (47.00 cm.) (depth) Size Notes: length Condition: no top; holes at the back of each cabinet
