6102250|||||Laurence Stephen Lowry|||||(British, 1887 - 1976)|||||The Fever Van|||||Lot 96 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  500 - 700 GBP|||||Materials: colored guild stamped print Measurements: 16.93 in. (43.00 cm.) (height) by 20.87 in. (53.00 cm.) (width) Markings: signed in pen
6102251|||||David Cox Sr.|||||(British, 1783 - 1859)|||||Rydal Water|||||Lot 107 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  200 - 300 GBP|||||Materials: watercolor Measurements: 9.45 in. (24.00 cm.) (height) by 14.76 in. (37.50 cm.) (width) Markings: signed and titled 'Rydal Water' on  A J Mucklow & Son, Fine Art Dealers, Leicester Square, London label verso
6102252|||||David Cox Sr.|||||(British, 1783 - 1859)|||||Rustic scene with farm buildings and two figures seated by a track|||||Lot 108 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  200 - 300 GBP|||||Materials: watercolor Measurements: 13.78 in. (35.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) Markings: signed and dated '1859'
6102253|||||John Northcote Nash|||||(British, 1893 - 1977)|||||Still life study of wild flowers|||||Lot 129 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  400 - 600 GBP|||||Materials: watercolor Measurements: 13.39 in. (34.00 cm.) (height) by 11.02 in. (28.00 cm.) (width) Description: oval Markings: signed
6102254|||||Diana Armfield|||||(British, 1920)|||||Olives in a Spanish landscape|||||Lot 136 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  500 - 600 GBP|||||Materials: oil on board Measurements: 7.68 in. (19.50 cm.) (height) by 7.28 in. (18.50 cm.) (width) Markings: initialled; titled on label verso
6102255|||||Eugene Atget|||||(French, 1857 - 1927)|||||R Galande|||||Lot 1 - Yann Le Mouel Sarl, Paris (November 10, 2015)|||||Photographies (Sale )||||||||||Estimate:  2,500 - 3,500 EUR|||||Materials: albumen print Measurements: 8.78 in. (22.30 cm.) (height) by 7.01 in. (17.80 cm.) (width) Markings: penciled title and no. '3578' by photographer, print verso
6102256|||||Eugene Atget|||||(French, 1857 - 1927)|||||R de l'Ecole de MAdecine|||||Lot 2 - Yann Le Mouel Sarl, Paris (November 10, 2015)|||||Photographies (Sale )||||||||||Estimate:  1,500 - 2,500 EUR|||||Materials: albumen print Measurements: 8.62 in. (21.90 cm.) (height) by 6.93 in. (17.60 cm.) (width) Markings: penciled caption and no. '3717' by photographer, print verso
6102257|||||Eugene Atget|||||(French, 1857 - 1927)|||||Rue Galande|||||Lot 3 - Yann Le Mouel Sarl, Paris (November 10, 2015)|||||Photographies (Sale )||||||||||Estimate:  2,000 - 3,000 EUR|||||Materials: albumen print Measurements: 8.74 in. (22.20 cm.) (height) by 7.01 in. (17.80 cm.) (width) Markings: penciled caption and no. '3676' by photographer, print verso
6102258|||||Eugene Atget|||||(French, 1857 - 1927)|||||Au Griffon - R de Buci 10|||||Lot 4 - Yann Le Mouel Sarl, Paris (November 10, 2015)|||||Photographies (Sale )||||||||||Estimate:  3,000 - 5,000 EUR|||||Materials: albumen print Measurements: 8.39 in. (21.30 cm.) (height) by 6.97 in. (17.70 cm.) (width) Markings: penciled caption and no. '4098' by photographer, print verso
6102259|||||Eugene Atget|||||(French, 1857 - 1927)|||||R FArou|||||Lot 5 - Yann Le Mouel Sarl, Paris (November 10, 2015)|||||Photographies (Sale )||||||||||Estimate:  1,000 - 2,000 EUR|||||Materials: albumen print Measurements: 8.54 in. (21.70 cm.) (height) by 6.89 in. (17.50 cm.) (width) Markings: penciled caption and no. '3552' by photographer, print verso
6102260|||||Ruytchi Souzouki|||||(Japanese, 1902 - 1985)|||||NoeI saappreIte aI repeupler le monde|||||Lot 185 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  200 - 300 EUR|||||Materials: oil on canvas Measurements: 8.66 in. (22.00 cm.) (height) by 14.57 in. (37.00 cm.) (width) Markings: signed l.r.; titled on frame; numbered 25, dated and signed verso Condition: framed
6102261|||||Mihail Chemiakin|||||(Russian, 1943)|||||Sans titres|||||Lot 186 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  800 - 1,200 EUR|||||Materials: watercolor and ink on paper Measurements: 11.81 in. (30.00 cm.) (height) by 9.25 in. (23.50 cm.) (width) Size Notes: sight Markings: signed and dated in pencil u.r., annotated '75 M.W.' in ink l.l.
6102262|||||Kwan Nam|||||(1911 - 1990)|||||Composition|||||Lot 187 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  1,000 - 1,500 EUR|||||Materials: gouache on black paper Measurements: 10.04 in. (25.50 cm.) (height) by 6.10 in. (15.50 cm.) (width) Markings: signed l.c.; signed in Korean and dated verso Condition: fold at bottom
6102263|||||Hugh Weiss|||||(American, 1925 - 2007)|||||Autoportrait en chat|||||Lot 188 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  200 - 300 EUR|||||Materials: pastel on paper Measurements: 28.35 in. (72.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) Markings: signed and dated l.r.
6102264|||||Enrich Nicolaus|||||(Austrian, 1955)|||||Eile mit Weile|||||Lot 189 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  500 - 700 EUR|||||Materials: mixed media on canvas Measurements: 33.07 in. (84.00 cm.) (height) by 22.83 in. (58.00 cm.) (width) Markings: signed u.l., titled at top, dated u.r.
6102265|||||Enrich Nicolaus|||||(Austrian, 1955)|||||The permanent crisis|||||Lot 190 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  400 - 600 EUR|||||Materials: mixed media on canvas laid on panel Measurements: 21.06 in. (53.50 cm.) (height) by 27.56 in. (70.00 cm.) (width) Markings: signed and dated u.c., titled at top
6102266|||||Atilla Biro|||||(1931 - 1987)|||||Laoiseau cacheI des jardins|||||Lot 191 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  400 - 600 EUR|||||Materials: oil on canvas Measurements: 35.04 in. (89.00 cm.) (height) by 45.67 in. (116.00 cm.) (width) Markings: signed and dated l.r.; signed, dated, titled and located verso
6102267|||||Bengt Lindstrom|||||(Swedish, 1925 - 2008)|||||Sans titre|||||Lot 193 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  700 - 1,000 EUR|||||Materials: carborundum etching laid on canvas Measurements: 39.37 in. (100.00 cm.) (height) by 31.89 in. (81.00 cm.) (width) Edition: 2/3 Markings: numbered 2/3, dedicated and signed l.r. Condition: very minor tear
6102268|||||Bengt Lindstrom|||||(Swedish, 1925 - 2008)|||||Composition|||||Lot 194 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  700 - 1,000 EUR|||||Materials: carborundum etching laid on canvas Measurements: 46.06 in. (117.00 cm.) (height) by 35.04 in. (89.00 cm.) (width) Edition: 3/6 Markings: numbered 3/6 l.l., signed l.r.
6102269|||||Bengt Lindstrom|||||(Swedish, 1925 - 2008)|||||Sans titre|||||Lot 195 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  200 - 300 EUR|||||Materials: color lithograph Measurements: 26.18 in. (66.50 cm.) (height) by 20.47 in. (52.00 cm.) (width) Edition: 96/125 Markings: numbered 96/125 l.l., signed in pencil l.r.
6102270|||||Bengt Lindstrom|||||(Swedish, 1925 - 2008)|||||Dieu aI la teIte rouge|||||Lot 196 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  3,000 - 3,500 EUR|||||Materials: oil on canvas Measurements: 25.59 in. (65.00 cm.) (height) by 21.26 in. (54.00 cm.) (width) Markings: signed l.l.
6102271|||||Bengt Lindstrom|||||(Swedish, 1925 - 2008)|||||Le philosophe|||||Lot 197 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  2,500 - 3,000 EUR|||||Materials: acrylic on paper Measurements: 41.54 in. (105.50 cm.) (height) by 28.94 in. (73.50 cm.) (width) Markings: signed l.r.
6102272|||||Bengt Lindstrom|||||(Swedish, 1925 - 2008)|||||La chamane|||||Lot 198 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  2,500 - 3,000 EUR|||||Materials: acrylic on paper Measurements: 41.34 in. (105.00 cm.) (height) by 28.74 in. (73.00 cm.) (width) Markings: signed l.c.
6102273|||||Yvon Taillandier|||||(French, 1926)|||||Sans titre|||||Lot 199 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  400 - 600 EUR|||||Materials: acrylic on canvas Measurements: 25.59 in. (65.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) Markings: signed and dated at center; collection stamp verso on stretcher
6102274|||||Philippe Tykozinsky|||||(1963)|||||Mademoiselle Fafa sur son droIle daoiseau volant|||||Lot 200 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  300 - 400 EUR|||||Materials: acrylic on canvas Measurements: 39.37 in. (100.00 cm.) (height) by 28.74 in. (73.00 cm.) (width) Markings: signed l.r.; titled, dated and signed verso
6102275|||||Philippe Tykozinsky|||||(1963)|||||Sans titre|||||Lot 201 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  200 - 300 EUR|||||Materials: acrylic on canvas Measurements: 36.22 in. (92.00 cm.) (height) by 28.74 in. (73.00 cm.) (width) Markings: signed l.r.
6102276|||||Robert Combas|||||(French, 1957)|||||Gladiateur au masque de fer|||||Lot 202 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  4,000 - 6,000 EUR|||||Materials: mixed media, acrylic, collage and glitter Measurements: 15.16 in. (38.50 cm.) (height) by 24.41 in. (62.00 cm.) (width) Markings: signed two times l.r.; text by artist on canvas verso 'Avec casque Allemand de la dernieIre guerre, gladiateur aI masque de fer, contre Ange de laenfer contre Africain EXTERMINATOR saexprimat en AmeIricain tout en se laissant aller aI penser a Angela Davis. Anguirladement daensemble, pot pourri de jaune paillette et une penseIe pour le geIneIral Lafayette. Tous les habits proviennent des Galleries FARFOUILLETTES. Combas 2001 et des poussieIrettes.'
6102277|||||Thomas Shotter Boys|||||(British, 1803 - 1874)|||||Coast Scene, Trouville, Normandy; Coast Scene, Havre|||||Lot 141 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  7,000 - 10,000 GBP|||||Materials: oil on board Measurements: 7.68 in. (19.50 cm.) (height) by 9.65 in. (24.50 cm.) (width) Size Notes: (1); 19.5 x 24.5 cm (2) Description: two works Markings: signed and dated '1830'; titled on original label verso 'Coast Scene, Trouville, Normandy' (1); signed and unclearly dated '18...'; titled on label verso 'Coast Scene, Havre'
6102278|||||Elio Vilva Trujillo|||||(Cuban, 1957)|||||Olokun|||||Lot 203 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  400 - 600 EUR|||||Materials: acrylic on canvas Measurements: 24.80 in. (63.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) Markings: signed and dated 14 c.r.; titled l.l. and long annotation verso
6102279|||||Arthur Hayward|||||(British, 1889 - 1971)|||||Harbour scene with numerous boats and fluffy clouds,|||||Lot 156 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  700 - 900 GBP|||||Materials: oil on board Measurements: 11.22 in. (28.50 cm.) (height) by 15.35 in. (39.00 cm.) (width) Markings: signed
6102280|||||Elio Vilva Trujillo|||||(Cuban, 1957)|||||Obatala|||||Lot 204 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  400 - 600 EUR|||||Materials: acrylic on canvas Measurements: 24.80 in. (63.00 cm.) (height) by 19.49 in. (49.50 cm.) (width) Markings: signed and dated 15 u.r., titled l.l.
6102281|||||Arthur Hayward|||||(British, 1889 - 1971)|||||Still life|||||Lot 157 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  400 - 600 GBP|||||Materials: oil on board Measurements: 15.35 in. (39.00 cm.) (height) by 11.42 in. (29.00 cm.) (width) Markings: signed
6102282|||||Mario Murua|||||(Chilean, 1952)|||||Composition au sphinx|||||Lot 205 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  200 - 300 EUR|||||Materials: acrylic on canvas Measurements: 28.74 in. (73.00 cm.) (height) by 23.82 in. (60.50 cm.) (width) Markings: signed and dated l.r.
6102283|||||Victor Ulloa|||||(Dominican, 1960)|||||Ma maison|||||Lot 206 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  400 - 600 EUR|||||Materials: oil on canvas Measurements: 45.67 in. (116.00 cm.) (height) by 35.04 in. (89.00 cm.) (width)
6102284|||||Saul Kaminer|||||(Mexican, 1952)|||||Sans titre|||||Lot 207 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  300 - 400 EUR|||||Materials: mixed media on cut panel Measurements: 15.75 in. (40.00 cm.) (height) by 12.20 in. (31.00 cm.) (width) Markings: signed and dated l.r.
6102285|||||Arthur Hayward|||||(British, 1889 - 1971)|||||Still life|||||Lot 158 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  400 - 600 GBP|||||Materials: oil on board Measurements: 11.42 in. (29.00 cm.) (height) by 15.35 in. (39.00 cm.) (width) Markings: signed; titled and inscribed with artiist's address on label verso
6102286|||||Arthur Hayward|||||(British, 1889 - 1971)|||||Village rooftop scene bordering an orchard|||||Lot 159 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  700 - 900 GBP|||||Materials: oil on board Measurements: 9.84 in. (25.00 cm.) (height) by 12.99 in. (33.00 cm.) (width) Markings: signed
6102287|||||Radhames Mejia|||||(1960)|||||Taxidermie|||||Lot 208 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  300 - 500 EUR|||||Materials: acrylic on paper laid on canvas Measurements: 45.67 in. (116.00 cm.) (height) by 35.04 in. (89.00 cm.) (width)
6102288|||||Arthur Hayward|||||(British, 1889 - 1971)|||||Treescape|||||Lot 160 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  600 - 800 GBP|||||Materials: oil on canvas Measurements: 12.20 in. (31.00 cm.) (height) by 11.42 in. (29.00 cm.) (width) Markings: signed
6102289|||||Jose Garcia Cordero|||||(Dominican, 1951)|||||InteIrieur au cheval|||||Lot 209 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  200 - 300 EUR|||||Materials: mixed media, oil and lead pencil Measurements: 9.45 in. (24.00 cm.) (height) by 12.99 in. (33.00 cm.) (width) Markings: signed and dated l.r.
6102290|||||Arthur Hayward|||||(British, 1889 - 1971)|||||Peaceful farmstead with truck on a lane|||||Lot 161 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  600 - 800 GBP|||||Materials: oil on board Measurements: 11.42 in. (29.00 cm.) (height) by 15.35 in. (39.00 cm.) (width) Markings: signed
6102291|||||Albert Dunington|||||(British, 1860 - 1928)|||||Scottish scene of Loch Long with group of Highland Cattle by a tree|||||Lot 162 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  300 - 400 GBP|||||Materials: oil on canvas Measurements: 9.45 in. (24.00 cm.) (height) by 13.39 in. (34.00 cm.) (width) Markings: signed and titled on canvas verso
6102292|||||Moke|||||(Congolese, 1950 - 2001)|||||InteIrieur aux enfants endormis|||||Lot 211 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  2,500 - 4,000 EUR|||||Materials: oil on canvas Measurements: 57.87 in. (147.00 cm.) (height) by 75.98 in. (193.00 cm.) (width) Markings: signed, dated and located 'RDC' Condition: slight depressions
6102293|||||Henry Robinson Hall|||||(British, fl. 1875-1902)|||||Highland Cattle, River Glass, Inverness-shire|||||Lot 166 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  400 - 600 GBP|||||Materials: oil on canvas Measurements: 19.29 in. (49.00 cm.) (height) by 29.53 in. (75.00 cm.) (width) Markings: signed and titled 'Highland Cattle, River Glass, Inverness-shire' on canvas verso
6102294|||||Ange Kumbi|||||(20th/21st C)|||||Calvaire d'un polygame|||||Lot 212 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  500 - 700 EUR|||||Materials: oil on canvas Measurements: 38.98 in. (99.00 cm.) (height) by 49.21 in. (125.00 cm.) (width) Markings: titled at top, signed l.r.
6102295|||||Sam Bough|||||(British, 1822 - 1878)|||||Highland Loch scene with cottage and figures and pony near a quayside|||||Lot 167 - Rogers Jones & Co., Colwyn Bay (December 01, 2015)|||||Antiques & Fine Art||||||||||Estimate:  200 - 300 GBP|||||Materials: oil on canvas Measurements: 15.75 in. (40.00 cm.) (height) by 23.23 in. (59.00 cm.) (width)
6102296|||||Herje Makuzagi|||||(20th/21st C)|||||LahygieIne bafoueIe|||||Lot 213 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  2,000 - 3,000 EUR|||||Materials: oil on canvas Measurements: 54.72 in. (139.00 cm.) (height) by 82.68 in. (210.00 cm.) (width) Markings: titled u.l., signed and dated l.r. Condition: unstretched canvas
6102297|||||Monsengo Shula|||||(1959)|||||Atelier qui vit|||||Lot 214 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  3,000 - 4,000 EUR|||||Materials: oil on canvas Measurements: 58.27 in. (148.00 cm.) (height) by 85.04 in. (216.00 cm.) (width) Markings: titled u.l., signed and dated l.r.
6102298|||||Cristoforo Vicari|||||(Swiss, 1846 - 1913)|||||Lesendes MAdchen|||||Lot 850 - Bolland & Marotz, Bremen (November 21, 2015)|||||JubilAumsauktion (Sale 157)||||||||||Estimate:  500 EUR|||||Materials: alabaster Measurements: 18.50 in. (47.00 cm.) (height) Markings: inscribed l.r. on edge of base; dedicated on plate attached to edge of base Condition: damaged; restored
6102299|||||Cheri Samba|||||(Zairean, 1956)|||||Les complices de la miseIre de laAfrique|||||Lot 215 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  12,000 - 15,000 EUR|||||Materials: oil on canvas Measurements: 54.33 in. (138.00 cm.) (height) by 71.26 in. (181.00 cm.) (width) Description: June 2001 Markings: titled at top, signed and dated l.r. Condition: scratch
6102300|||||Cheri Cherin|||||(Congolese, 1955)|||||Lutte pour la survie|||||Lot 216 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  3,000 - 4,000 EUR|||||Materials: oil on canvas Measurements: 54.72 in. (139.00 cm.) (height) by 74.02 in. (188.00 cm.) (width) Markings: titled at top, signed and dated l.r. Condition: unstretched canvas
6102301|||||Alfred Drury|||||(British, 1856 - 1944)|||||Age of Innocence (wohl PortrAtkopf der Gracie Doncaster)|||||Lot 851 - Bolland & Marotz, Bremen (November 21, 2015)|||||JubilAumsauktion (Sale 157)||||||||||Estimate:  650 EUR|||||Materials: bronze with patina Measurements: 15.94 in. (40.50 cm.) (height) Size Notes: with base: 55.5 cm Markings: inscribed and dated '97' verso Condition: on gren-grey marble base (slightly damaged)
6102302|||||Bodo|||||(Congolese, 1953)|||||Paysage fantastique animeI|||||Lot 217 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  3,000 - 4,000 EUR|||||Materials: oil on canvas Measurements: 54.33 in. (138.00 cm.) (height) by 77.56 in. (197.00 cm.) (width) Markings: signed and dated l.r. Condition: craquelure
6102303|||||Ursula Querner|||||(German, 1921 - 1969)|||||Madonna mit Kind, BA14ste|||||Lot 852 - Bolland & Marotz, Bremen (November 21, 2015)|||||JubilAumsauktion (Sale 157)||||||||||Estimate:  150 EUR|||||Materials: wood Measurements: 13.19 in. (33.50 cm.) (height) Markings: titled, inscribed and dated '1943' verso Condition: cracks
6102304|||||Monsengo Shula|||||(1959)|||||Rond point victoire|||||Lot 218 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  2,000 - 3,000 EUR|||||Materials: oil on canvas and collage Measurements: 39.76 in. (101.00 cm.) (height) by 48.82 in. (124.00 cm.) (width) Markings: titled u.l., signed and dated l.r.
6102305|||||Moke|||||(Congolese, 1950 - 2001)|||||Le cadenas|||||Lot 219 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  5,000 - 7,000 EUR|||||Materials: oil on canvas Measurements: 64.57 in. (164.00 cm.) (height) by 49.21 in. (125.00 cm.) (width) Markings: signed, dated and located 'RDC' Condition: craquelure
6102306|||||Bodo|||||(Congolese, 1953)|||||Toilette envouIteIe - Delila|||||Lot 220 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  600 - 800 EUR|||||Materials: oil on canvas Measurements: 20.47 in. (52.00 cm.) (height) by 55.91 in. (142.00 cm.) (width) Markings: titled on painting, signed and dated l.r.
6102307|||||Waldemar Otto|||||(Polish, 1929)|||||Vielleicht Apoll|||||Lot 855 - Bolland & Marotz, Bremen (November 21, 2015)|||||JubilAumsauktion (Sale 157)||||||||||Estimate:  800 EUR|||||Materials: bronze with patina Measurements: 9.53 in. (24.20 cm.) (height) Size Notes: without base; base height: 13.5 Edition: 5/12 Markings: with artist monogramm and numbered '5/12' on right leg verso
6102308|||||Waldemar Otto|||||(Polish, 1929)|||||Torso einer Frau|||||Lot 856 - Bolland & Marotz, Bremen (November 21, 2015)|||||JubilAumsauktion (Sale 157)||||||||||Estimate:  700 EUR|||||Materials: bronze with patina Measurements: 14.17 in. (36.00 cm.) (height) Edition: 1/12 Markings: monogrammed, dated '5.94' and numbered '1/12' verso
6102309|||||Cheri Cherin|||||(Congolese, 1955)|||||Kermesse sauvage|||||Lot 221 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  2,000 - 3,000 EUR|||||Materials: oil on canvas Measurements: 23.03 in. (58.50 cm.) (height) by 37.01 in. (94.00 cm.) (width)
6102310|||||Fritz Wotruba|||||(Austrian, 1907 - 1975)|||||Kleine sitzende Figur.|||||Lot 857 - Bolland & Marotz, Bremen (November 21, 2015)|||||JubilAumsauktion (Sale 157)||||||||||Estimate:  450 EUR|||||Materials: bronze with patina Measurements: 7.87 in. (20.00 cm.) (height) by 6.69 in. (17.00 cm.) (width) by 9.84 in. (25.00 cm.) (depth) Markings: inscribed 'F Wotruba 456'; inscribed 'Art Venturi Arte' on inside (incised)
6102311|||||Somi||||||||||DiIner sauvage|||||Lot 222 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  500 - 700 EUR|||||Materials: oil on canvas Measurements: 31.10 in. (79.00 cm.) (height) by 38.58 in. (98.00 cm.) (width) Markings: signed and dated l.r.
6102312|||||Papa Mfumu Eto I|||||(Congolese, 1963)|||||LaeIpreuve initiatique de la marmite sacreIe|||||Lot 223 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  500 - 700 EUR|||||Materials: oil on canvas Measurements: 29.53 in. (75.00 cm.) (height) by 43.31 in. (110.00 cm.) (width) Description: May 2000 Markings: titled at top, signed and dated l.r.
6102313|||||Ewa Adamowicz|||||(Polish, 1953)|||||Les lutins|||||Lot 224 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  300 - 500 EUR|||||Materials: mixed media on panel Measurements: 26.77 in. (68.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) Markings: signed l.r.
6102314|||||Maren Lipp|||||(German, 1926)|||||Sitzender Junge|||||Lot 858 - Bolland & Marotz, Bremen (November 21, 2015)|||||JubilAumsauktion (Sale 157)||||||||||Estimate:  250 EUR|||||Materials: bronze with patina Measurements: 8.86 in. (22.50 cm.) (height) Edition: 7/10 Markings: monogrammed and dated '88' verso; numbered '7/10'; with round foundry stamp from August Bischoff
6102315|||||Lionel Gabel|||||(1963)|||||La couverture kurde|||||Lot 225 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  200 - 300 EUR|||||Materials: oil on canvas Measurements: 31.89 in. (81.00 cm.) (height) by 39.37 in. (100.00 cm.) (width) Markings: signed and dated l.r.; numbered 66, titled, signed and dated
6102316|||||Pietro Casacella|||||(1921 - 2008)|||||EItudes pour un fontaine|||||Lot 227 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  400 - 600 EUR|||||Materials: charcoal heightened with colors Measurements: 17.91 in. (45.50 cm.) (height) by 24.61 in. (62.50 cm.) (width) Markings: signed and dated l.r.
6102317|||||Pietro Casacella|||||(1921 - 2008)|||||TeIte de femme|||||Lot 228 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  300 - 500 EUR|||||Materials: charcoal and gouache Measurements: 17.91 in. (45.50 cm.) (height) by 24.80 in. (63.00 cm.) (width) Markings: signed and dated l.r.
6102318|||||Francisco Toledo|||||(American, 1940)|||||Composition|||||Lot 229 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  500 - 700 EUR|||||Materials: ink Measurements: 9.45 in. (24.00 cm.) (height) by 12.40 in. (31.50 cm.) (width)
6102319|||||Erik Dietmann|||||(Swedish, 1937 - 2002)|||||TeIte-Payage|||||Lot 230 - De Baecque & Associes, Paris (December 01, 2015)|||||Regards sur le XXe SiA cle # 10 (Sale )||||||||||Estimate:  200 - 300 EUR|||||Materials: pencil on paper Measurements: 17.13 in. (43.50 cm.) (height) by 21.50 in. (54.60 cm.) (width) Markings: signed and dated l.l.
