David Reeb|||||(Israeli, 1952)|||||Camel Time|||||Lot 252 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 700 - 900 USD|||||Materials: silkscreen on canvas Measurements: 26.50 in. (67.31 cm.) (height) by 40.00 in. (101.60 cm.) (width) Size Notes: image; Size: 32 x 44 in Edition: 10/15 Markings: signed, l.l.
James Rosenquist|||||(American, 1933)|||||Israel Flag at the Speed of Light|||||Lot 253 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||$ 2,000 USD 1,789 EUR 1,313 GBP|||||Original Currency of Sale: $ 2,000 USD Hammer Estimate: $ 2,500 - 3,000 USD|||||Materials: lithograph Measurements: 30.00 in. (76.20 cm.) (height) by 20.00 in. (50.80 cm.) (width) Size Notes: image; size: 33.5 x 22 in. Edition: ed. of 50 Markings: signed and numbered in pencil
David Sperry|||||(American, 20th C)|||||Rear Windows|||||Lot 254 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 2,000 - 3,000 USD|||||Materials: watercolor on paper Measurements: 16.50 in. (41.91 cm.) (height) by 30.00 in. (76.20 cm.) (width) Size Notes: framed: 22.5 x 35.5 in. Markings: signed Condition: framed
Ralph Idris Steadman|||||(British, 1936)|||||Disneyland|||||Lot 255 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||$ 350 USD 313 EUR 229 GBP|||||Original Currency of Sale: $ 350 USD Hammer Estimate: $ 500 - 700 USD|||||Materials: offset lithograph Measurements: 18.00 in. (45.72 cm.) (height) by 24.50 in. (62.23 cm.) (width) Size Notes: image; size: 18.5 x 26.5 in. Markings: signed and dated in ink
Bert Stern|||||(American, 1929 - 2013)|||||Portrait of Marilyn|||||Lot 256 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 700 - 900 USD|||||Materials: silkscreen on Arches Paper Measurements: 13.50 in. (34.29 cm.) (height) by 20.00 in. (50.80 cm.) (width) Size Notes: image; size 22.5 x 30 in.
Julian Trevelyan|||||(British, 1910 - 1988)|||||Near Miss|||||Lot 257 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 900 - 1,200 USD|||||Materials: Etching with Aquatint Measurements: 19.00 in. (48.26 cm.) (height) by 14.00 in. (35.56 cm.) (width) Size Notes: image; size 30 x 23 in. Edition: 4/52 Markings: signed and numbered in pencil
Richard Earlom|||||(British, 1743 - 1822)|||||Still-life of flowers in a Baroque vase decorated with putti, set on a ledge, with butterflies and birds nest|||||Lot 227 - Dominic Winter, South Cerney (September 16, 2015)|||||Printed Books, Maps & Documents, Opera & History of Music (Sale )|||||$ 465 USD 411 EUR 300 GBP|||||Original Currency of Sale:   300 GBP Hammer Estimate:   300 - 400 GBP|||||Materials: hand-colored mezzotint Measurements: 28.35 in. (72.00 cm.) (height) by 20.28 in. (51.50 cm.) (width) Description: after Van Huysum Condition: framed under glass
Jeff Koons|||||(American, 1955)|||||Balloon dog|||||Lot 229 - Wright, Chicago (September 24, 2015)|||||Art + Design (Sale )|||||$ 860 USD 769 EUR 564 GBP|||||Original Currency of Sale: $ 860 USD Premium Estimate: $ 8,000 - 12,000 USD|||||Materials: glazed porcelain Measurements: 4.25 in. (10.80 cm.) (height) by 9.75 in. (24.76 cm.) (width) Description: published by VOICE: Venice/Oakwood Inner City Enterprise; 79 from edition of an unknown size Markings: Printed signature, date and number to verso  Balloon Dog by Jeff Koons Limited Edition Fine Porcelain Plate Number 79 95
Tom Wesselmann|||||(American, 1931 - 2004)|||||Monica Sitting Against a Wall|||||Lot 259 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 7,500 - 8,500 USD|||||Materials: lithograph Measurements: 48.00 in. (121.92 cm.) (height) by 37.00 in. (93.98 cm.) (width) Size Notes: framed: 61.5 x 50 in. Edition: 6/26 Markings: signed and numbered in pencil Condition: framed
Konstantin Bokov|||||(American, Russian, 194020th C)|||||NYNEX|||||Lot 260 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 2,500 - 3,500 USD|||||Materials: Acrylic on Board and Found Art Collage Measurements: 24.00 in. (60.96 cm.) (height) by 13.25 in. (33.66 cm.) (width) by 1.00 in. (2.54 cm.) (depth) Markings: signed, dated
