Irby Brown|||||(American, 1928)|||||Southwestern adobe village|||||Lot 359 - Brunk Auctions, Asheville (November 06, 2015)|||||Auction (Sale )|||||$ 2,000 USD 1,861 EUR 1,328 GBP|||||Original Currency of Sale: $ 2,000 USD Hammer Estimate: $ 1,000 - 2,000 USD|||||Materials: oil on canvas Measurements: 24.00 in. (60.96 cm.) (height) by 35.87 in. (91.11 cm.) (width) Markings: signed lower left Irby Brown Condition: distressed wood frame, good condition
Jean Miotte|||||(French, 1926)|||||Composition|||||Lot 17 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||$ 2,620 USD 2,450 EUR 1,715 GBP|||||Original Currency of Sale:   2,450 EUR Premium Estimate:   2,000 - 2,500 EUR|||||Materials: acrylic on cardstock Measurements: 29.92 in. (76.00 cm.) (height) by 22.05 in. (56.00 cm.) (width) Description: certificate of authenticity from Fondation Jean Miotte included with lot Markings: signed l.l.
Jean Atlan|||||(French, 1913 - 1960)|||||Composition|||||Lot 18 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   6,000 - 8,000 EUR|||||Materials: pastel on paper Measurements: 9.45 in. (24.00 cm.) (height) by 12.80 in. (32.50 cm.) (width) Markings: signed l.r.
John Fery|||||(American, Austrian, 1859 - 1934)|||||River with Moose near Glacier Laden Ridge|||||Lot 360 - Brunk Auctions, Asheville (November 06, 2015)|||||Auction (Sale )|||||$ 7,500 USD 6,981 EUR 4,983 GBP|||||Original Currency of Sale: $ 7,500 USD Hammer Estimate: $ 6,000 - 9,000 USD|||||Materials: oil on canvas Measurements: 22.00 in. (55.88 cm.) (height) by 27.25 in. (69.22 cm.) (width) Markings: signed lower right J. Fery Condition: gilt wood frame stretcher marks, light grime, crackle, small paint void in river lower right
Claude Venard|||||(French, 1913 - 1999)|||||Patchework|||||Lot 19 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   5,000 - 7,000 EUR|||||Materials: oil on canvas Measurements: 39.37 in. (100.00 cm.) (height) by 39.37 in. (100.00 cm.) (width) Markings: signed l.r.; titled verso
Eugene Leroy|||||(French, 1910 - 2000)|||||Kreuzigung|||||Lot 20 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   12,000 - 15,000 EUR|||||Materials: oil on canvas Measurements: 39.37 in. (100.00 cm.) (height) by 28.74 in. (73.00 cm.) (width) Description: certificate from M. Jean-Jacques Leroy, dated April 3, 2015, included with lot Markings: titled on stretcher
Horia Damian|||||(Romanian, 1922 - 2012)|||||Composition forme bleue|||||Lot 21 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   4,000 - 6,000 EUR|||||Materials: acrylic and resin on canvas Measurements: 51.18 in. (130.00 cm.) (height) by 57.48 in. (146.00 cm.) (width) Markings: signed and dated l.r.
Roberto Barni|||||(Italian, 1939)|||||NSC|||||Lot 208 - Poleschi Casa d'Aste, Milan (November 10, 2015)|||||Arte Moderna e Contemporanea (Sale 17)|||||Bought In|||||Estimate:   7,000 - 10,000 EUR|||||Materials: bronze Measurements: 17.32 in. (44.00 cm.) (height) by 16.14 in. (41.00 cm.) (width) by 7.09 in. (18.00 cm.) (depth) Edition: Edition of 8 + 1 A.P. Description: Certificate issued by the artist Markings: Stamp with initials of the artist  R.B.  on the base; stamp of the Foundry Ciglia & Carrai, Florence on the base
Serge Charchoune|||||(Russian, 1888 - 1975)|||||Sans titre|||||Lot 22 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   800 - 1,000 EUR|||||Materials: gouache and watercolor on paper Measurements: 14.57 in. (37.00 cm.) (height) by 10.63 in. (27.00 cm.) (width) Markings: signed and dated l.r.
Hans Hartung|||||(French, German, 1904 - 1989)|||||P1960-157|||||Lot 23 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||$ 34,477 USD 32,237 EUR 22,576 GBP|||||Original Currency of Sale:   32,237 EUR Premium Estimate:   20,000 - 30,000 EUR|||||Materials: oil pastel on baryta board Measurements: 19.29 in. (49.00 cm.) (height) by 25.20 in. (64.00 cm.) (width) Markings: signed and dated l.r.; titled verso
Max Papart|||||(French, 1911 - 1994)|||||Sans titre|||||Lot 24 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   1,000 - 1,200 EUR|||||Materials: charcoal and watercolor on paper Measurements: 19.69 in. (50.00 cm.) (height) by 25.00 in. (63.50 cm.) (width) Markings: signed and dated l.r.
Mario Prassinos|||||(French, 1916 - 1985)|||||Sans titre|||||Lot 25 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||$ 2,068 USD 1,934 EUR 1,354 GBP|||||Original Currency of Sale:   1,934 EUR Premium Estimate:   1,200 - 1,500 EUR|||||Materials: ink and oil on paper Measurements: 35.43 in. (90.00 cm.) (height) by 27.56 in. (70.00 cm.) (width) Markings: signed l.r., dated at top
Enrico Baj|||||(Italian, 1924 - 2003)|||||Profilo|||||Lot 209 - Poleschi Casa d'Aste, Milan (November 10, 2015)|||||Arte Moderna e Contemporanea (Sale 17)|||||Bought In|||||Estimate:   8,000 - 12,000 EUR|||||Materials: mixed media on board Measurements: 16.93 in. (43.00 cm.) (height) by 11.81 in. (30.00 cm.) (width) Description: Certificate of authenticity by Stanislao de Bonis arte moderna e
contemporanea, Reggio Emilia Markings: Signed  Baj  lower right
Zao Wou-Ki|||||(Chinese, French, 1921 - 2013)|||||Sans titre|||||Lot 27 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   2,000 - 3,000 EUR|||||Materials: color lithograph Measurements: 14.96 in. (38.00 cm.) (height) by 19.29 in. (49.00 cm.) (width) Size Notes: image size; plate size: 50 x 65.5 cm. Markings: dedicated
Zao Wou-Ki|||||(Chinese, French, 1921 - 2013)|||||Sans titre|||||Lot 28 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||$ 1,240 USD 1,160 EUR 811 GBP|||||Original Currency of Sale:   1,160 EUR Premium Estimate:   500 - 600 EUR|||||Materials: color lithograph Measurements: 12.20 in. (31.00 cm.) (height) by 9.65 in. (24.50 cm.) (width) Size Notes: image size; plate size: 35.5 x 26.5 cm. Edition: AP Markings: annotated 'EA'
Mario Tozzi|||||(Italian, 1895 - 1979)|||||Figure|||||Lot 210 - Poleschi Casa d'Aste, Milan (November 10, 2015)|||||Arte Moderna e Contemporanea (Sale 17)|||||$ 16,113 USD 15,000 EUR 10,706 GBP|||||Original Currency of Sale:   15,000 EUR Hammer Estimate:   24,000 - 30,000 EUR|||||Materials: oil on canvas Measurements: 21.65 in. (55.00 cm.) (height) by 18.11 in. (46.00 cm.) (width) Markings: Signed  Mario Tozzi  upper right
Zao Wou-Ki|||||(Chinese, French, 1921 - 2013)|||||Sans titre|||||Lot 29 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||$ 1,240 USD 1,160 EUR 811 GBP|||||Original Currency of Sale:   1,160 EUR Premium Estimate:   500 - 600 EUR|||||Materials: color lithograph Measurements: 22.64 in. (57.50 cm.) (height) by 19.29 in. (49.00 cm.) (width) Edition: 12/50 Markings: numbered 12/50
Tang Haiwen|||||(Chinese, 1927 - 1991)|||||Sans titre|||||Lot 31 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   15,000 - 20,000 EUR|||||Materials: ink on paper Measurements: 27.95 in. (71.00 cm.) (height) by 38.98 in. (99.00 cm.) (width) Size Notes: overall size Description: diptych Markings: signed l.r. on one part
Tang Haiwen|||||(Chinese, 1927 - 1991)|||||Sans titre|||||Lot 32 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   18,000 - 22,000 EUR|||||Materials: ink on paper Measurements: 27.56 in. (70.00 cm.) (height) by 38.98 in. (99.00 cm.) (width) Size Notes: overall size Description: diptych Markings: signed l.r. on one part
Thanos Tsingos|||||(Greek, 1914 - 1965)|||||Sans titre|||||Lot 33 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||$ 15,169 USD 14,184 EUR 9,933 GBP|||||Original Currency of Sale:   14,184 EUR Premium Estimate:   2,000 - 2,500 EUR|||||Materials: oil on canvas Measurements: 31.89 in. (81.00 cm.) (height) by 39.37 in. (100.00 cm.) (width) Markings: signed and dated l.r.
Emilio Scanavino|||||(Italian, 1922 - 1986)|||||Senza titolo|||||Lot 212 - Poleschi Casa d'Aste, Milan (November 10, 2015)|||||Arte Moderna e Contemporanea (Sale 17)|||||Bought In|||||Estimate:   12,000 - 15,000 EUR|||||Materials: oil on canvas Measurements: 15.75 in. (40.00 cm.) (height) by 11.81 in. (30.00 cm.) (width) Description: Certificate issued by the artist; 
Certificate by Giorgina Scanavino Markings: Signed, dated  Scanavino, 1954  lower right
Thanos Tsingos|||||(Greek, 1914 - 1965)|||||Sans titre|||||Lot 34 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||$ 7,584 USD 7,092 EUR 4,966 GBP|||||Original Currency of Sale:   7,092 EUR Premium Estimate:   1,500 - 2,000 EUR|||||Materials: oil on canvas Measurements: 28.74 in. (73.00 cm.) (height) by 36.22 in. (92.00 cm.) (width) Markings: signed l.r.
